Date,HQ/PM,Funds Center,Fiscal Year,Fiscal Period,Fund,Funded Program,WBS Element,  Allocated  ,  Actual  
3/31/2021,PM-One,FC-Five,FY21,Q4,Fund03,Funded Program One,S.0060703.1.19.3.2,"$25,720.00 ","$25,462.80 "
3/31/2021,PM-Two,FC-One,FY25,Q1,Fund07,Funded Program Three,S.0060703.1.19.3.2,"$26,529.00 ","$27,590.16 "
3/31/2021,HQ,FC-Six,FY25,Q1,Fund01,Funded Program Three,S.0060703.1.19.2.7,"$86,826.00 ","$94,640.34 "
3/31/2021,PM-Three,FC-Nine,FY24,Q4,Fund08,Funded Program One,S.0060703.1.19.2.9,"$83,072.00 ","$86,394.88 "
3/31/2021,HQ,FC-Six,FY25,Q1,Fund04,Funded Program Nine,S.0060703.1.19.2.5,"$36,373.00 ","$36,736.73 "
3/31/2021,PM-Four,FC-Eight,FY23,Q1,Fund09,Funded Program Six,S.0060703.1.19.2.9,"$69,004.00 ","$74,524.32 "
3/31/2021,PM-Two,FC-Nine,FY21,Q2,Fund10,Funded Program Nine,S.0060703.1.19.3.4,"$10,942.00 ","$11,489.10 "
3/31/2021,PM-Four,FC-Eight,FY23,Q3,Fund08,Funded Program One,S.0060703.1.19.3.3,"$22,634.00 ","$24,897.40 "
3/31/2021,PM-One,FC-Eight,FY24,Q4,Fund08,Funded Program Five,S.0060703.1.19.2.10,"$46,024.00 ","$49,245.68 "
3/31/2021,PM-One,FC-One,FY22,Q3,Fund06,Funded Program Two,S.0060703.1.19.2.7,"$31,648.00 ","$30,698.56 "
3/31/2021,HQ,FC-Two,FY22,Q1,Fund05,Funded Program Eight,S.0060703.1.19.2.6,"$27,153.00 ","$24,166.17 "
3/31/2021,PM-Two,FC-Ten,FY22,Q2,Fund08,Funded Program Ten,S.0060703.1.19.2.5,"$73,598.00 ","$80,957.80 "
3/31/2021,PM-Two,FC-Five,FY25,Q2,Fund10,Funded Program Four,S.0060703.1.19.2.5,"$47,142.00 ","$48,084.84 "
3/31/2021,PM-Two,FC-Three,FY24,Q3,Fund05,Funded Program Ten,S.0060703.1.19.3.4,"$51,689.00 ","$46,520.10 "
3/31/2021,PM-Two,FC-Seven,FY21,Q1,Fund06,Funded Program Seven,S.0060703.1.19.3.4,"$74,322.00 ","$80,267.76 "
3/31/2021,PM-Two,FC-Nine,FY25,Q4,Fund06,Funded Program Four,S.0060703.1.19.3.4,"$60,428.00 ","$66,470.80 "
3/31/2021,PM-One,FC-Four,FY24,Q2,Fund06,Funded Program Six,S.0060703.1.19.3.1,"$65,910.00 ","$69,864.60 "
3/31/2021,PM-Three,FC-Eight,FY22,Q4,Fund01,Funded Program Five,S.0060703.1.19.2.7,"$17,345.00 ","$15,090.15 "
3/31/2021,PM-One,FC-Eight,FY23,Q1,Fund02,Funded Program Two,S.0060703.1.19.2.7,"$92,174.00 ","$94,017.48 "
3/31/2021,PM-Three,FC-Three,FY23,Q3,Fund05,Funded Program Six,S.0060703.1.19.2.8,"$28,603.00 ","$30,891.24 "
3/31/2021,PM-One,FC-Ten,FY22,Q3,Fund06,Funded Program Three,S.0060703.1.19.2.6,"$44,618.00 ","$39,263.84 "
3/31/2021,PM-Two,FC-Four,FY22,Q3,Fund01,Funded Program Nine,S.0060703.1.19.3.4,"$49,064.00 ","$50,045.28 "
3/31/2021,PM-Two,FC-Eight,FY25,Q1,Fund04,Funded Program Eight,S.0060703.1.19.3.2,"$50,076.00 ","$53,581.32 "
3/31/2021,PM-Two,FC-Four,FY21,Q4,Fund02,Funded Program Six,S.0060703.1.19.3.4,"$35,021.00 ","$32,219.32 "
3/31/2021,PM-Four,FC-One,FY21,Q3,Fund03,Funded Program Six,S.0060703.1.19.3.3,"$86,505.00 ","$92,560.35 "
3/31/2021,HQ,FC-Five,FY22,Q3,Fund03,Funded Program Two,S.0060703.1.19.2.5,"$96,461.00 ","$92,602.56 "
3/31/2021,PM-Two,FC-Four,FY24,Q2,Fund06,Funded Program Six,S.0060703.1.19.2.10,"$40,596.00 ","$36,536.40 "
3/31/2021,PM-Three,FC-Five,FY23,Q1,Fund03,Funded Program Four,S.0060703.1.19.3.4,"$10,029.00 ","$9,326.97 "
3/31/2021,PM-One,FC-Ten,FY22,Q3,Fund04,Funded Program Ten,S.0060703.1.19.3.3,"$92,604.00 ","$81,491.52 "
3/31/2021,HQ,FC-Six,FY23,Q3,Fund03,Funded Program One,S.0060703.1.19.2.7,"$24,896.00 ","$23,402.24 "
3/31/2021,HQ,FC-Nine,FY21,Q4,Fund09,Funded Program Six,S.0060703.1.19.3.2,"$58,774.00 ","$64,063.66 "
3/31/2021,HQ,FC-Three,FY21,Q4,Fund01,Funded Program One,S.0060703.1.19.3.3,"$53,500.00 ","$49,220.00 "
3/31/2021,PM-One,FC-Eight,FY24,Q2,Fund10,Funded Program Four,S.0060703.1.19.3.2,"$28,203.00 ","$24,818.64 "
3/31/2021,PM-One,FC-Five,FY23,Q4,Fund02,Funded Program Four,S.0060703.1.19.2.7,"$15,641.00 ","$16,423.05 "
3/31/2021,PM-Four,FC-Ten,FY21,Q3,Fund07,Funded Program Seven,S.0060703.1.19.3.4,"$26,742.00 ","$27,276.84 "
3/31/2021,PM-One,FC-Seven,FY21,Q1,Fund04,Funded Program Two,S.0060703.1.19.2.8,"$39,249.00 ","$39,641.49 "
3/31/2021,PM-One,FC-Five,FY21,Q4,Fund08,Funded Program Seven,S.0060703.1.19.2.7,"$80,848.00 ","$81,656.48 "
3/31/2021,PM-Two,FC-Eight,FY21,Q3,Fund09,Funded Program Ten,S.0060703.1.19.3.2,"$29,833.00 ","$31,921.31 "
3/31/2021,PM-Four,FC-Two,FY25,Q3,Fund03,Funded Program Seven,S.0060703.1.19.2.9,"$23,685.00 ","$20,369.10 "
3/31/2021,PM-Two,FC-Six,FY21,Q2,Fund01,Funded Program Six,S.0060703.1.19.3.1,"$19,490.00 ","$17,930.80 "
3/31/2021,HQ,FC-Four,FY25,Q3,Fund06,Funded Program Three,S.0060703.1.19.2.5,"$67,717.00 ","$58,913.79 "
3/31/2021,PM-Four,FC-Six,FY22,Q1,Fund03,Funded Program Ten,S.0060703.1.19.2.5,"$96,838.00 ","$82,312.30 "
3/31/2021,PM-Four,FC-Four,FY23,Q4,Fund06,Funded Program One,S.0060703.1.19.3.1,"$11,690.00 ","$11,806.90 "
3/31/2021,PM-Four,FC-Six,FY24,Q4,Fund07,Funded Program Two,S.0060703.1.19.2.9,"$78,463.00 ","$74,539.85 "
3/31/2021,PM-One,FC-Eight,FY22,Q4,Fund09,Funded Program Eight,S.0060703.1.19.3.1,"$26,617.00 ","$27,415.51 "
3/31/2021,PM-Three,FC-One,FY23,Q1,Fund09,Funded Program One,S.0060703.1.19.2.8,"$41,192.00 ","$38,720.48 "
3/31/2021,PM-Four,FC-Three,FY23,Q1,Fund04,Funded Program Six,S.0060703.1.19.3.1,"$30,785.00 ","$26,167.25 "
3/31/2021,PM-One,FC-Seven,FY21,Q1,Fund05,Funded Program Four,S.0060703.1.19.2.6,"$16,641.00 ","$14,976.90 "
3/31/2021,PM-Two,FC-One,FY25,Q2,Fund04,Funded Program Eight,S.0060703.1.19.2.9,"$32,937.00 ","$35,901.33 "
3/31/2021,PM-Four,FC-Three,FY21,Q4,Fund02,Funded Program Eight,S.0060703.1.19.3.2,"$99,296.00 ","$99,296.00 "
3/31/2021,HQ,FC-One,FY24,Q3,Fund07,Funded Program Nine,S.0060703.1.19.2.9,"$97,744.00 ","$94,811.68 "
3/31/2021,PM-Four,FC-Three,FY23,Q2,Fund03,Funded Program Seven,S.0060703.1.19.2.8,"$89,398.00 ","$86,716.06 "
3/31/2021,PM-Four,FC-Two,FY23,Q1,Fund02,Funded Program Ten,S.0060703.1.19.2.5,"$95,727.00 ","$95,727.00 "
3/31/2021,PM-Four,FC-Five,FY25,Q1,Fund08,Funded Program Eight,S.0060703.1.19.3.3,"$74,552.00 ","$64,860.24 "
3/31/2021,HQ,FC-Seven,FY25,Q2,Fund05,Funded Program Four,S.0060703.1.19.2.7,"$99,144.00 ","$109,058.40 "
3/31/2021,PM-Two,FC-Nine,FY25,Q2,Fund04,Funded Program Three,S.0060703.1.19.2.5,"$65,193.00 ","$69,104.58 "
3/31/2021,PM-Two,FC-Eight,FY23,Q4,Fund03,Funded Program Six,S.0060703.1.19.2.8,"$56,755.00 ","$60,727.85 "
3/31/2021,PM-One,FC-Four,FY24,Q3,Fund03,Funded Program Four,S.0060703.1.19.2.6,"$91,751.00 ","$77,988.35 "
3/31/2021,PM-Three,FC-One,FY25,Q2,Fund02,Funded Program Five,S.0060703.1.19.3.1,"$21,836.00 ","$21,180.92 "
3/31/2021,PM-Four,FC-Three,FY21,Q1,Fund04,Funded Program Two,S.0060703.1.19.2.8,"$65,505.00 ","$65,505.00 "
3/31/2021,PM-Two,FC-Ten,FY25,Q3,Fund07,Funded Program Eight,S.0060703.1.19.2.9,"$36,430.00 ","$33,879.90 "
3/31/2021,HQ,FC-Six,FY22,Q3,Fund08,Funded Program One,S.0060703.1.19.2.5,"$51,301.00 ","$45,144.88 "
3/31/2021,PM-Four,FC-Ten,FY25,Q2,Fund06,Funded Program Eight,S.0060703.1.19.2.5,"$96,109.00 ","$96,109.00 "
3/31/2021,HQ,FC-Five,FY21,Q4,Fund05,Funded Program Nine,S.0060703.1.19.2.5,"$57,018.00 ","$49,605.66 "
3/31/2021,PM-Two,FC-One,FY24,Q3,Fund08,Funded Program Two,S.0060703.1.19.2.8,"$14,708.00 ","$14,119.68 "
3/31/2021,PM-Two,FC-Ten,FY22,Q1,Fund01,Funded Program Four,S.0060703.1.19.3.2,"$10,847.00 ","$11,931.70 "
3/31/2021,PM-Four,FC-Ten,FY21,Q2,Fund01,Funded Program Seven,S.0060703.1.19.2.5,"$40,414.00 ","$42,838.84 "
3/31/2021,PM-Two,FC-Two,FY22,Q4,Fund01,Funded Program Two,S.0060703.1.19.3.2,"$91,590.00 ","$96,169.50 "
3/31/2021,PM-Four,FC-Five,FY22,Q2,Fund09,Funded Program Six,S.0060703.1.19.2.7,"$22,238.00 ","$21,570.86 "
3/31/2021,PM-One,FC-Nine,FY23,Q3,Fund04,Funded Program Five,S.0060703.1.19.3.3,"$27,217.00 ","$23,134.45 "
3/31/2021,PM-Three,FC-Nine,FY24,Q4,Fund04,Funded Program Three,S.0060703.1.19.2.7,"$49,513.00 ","$50,503.26 "
3/31/2021,PM-One,FC-Three,FY22,Q4,Fund04,Funded Program Three,S.0060703.1.19.3.4,"$10,763.00 ","$11,301.15 "
3/31/2021,PM-Two,FC-Five,FY22,Q2,Fund10,Funded Program Two,S.0060703.1.19.3.1,"$11,404.00 ","$12,544.40 "
3/31/2021,PM-Four,FC-Seven,FY25,Q4,Fund06,Funded Program Ten,S.0060703.1.19.3.1,"$82,243.00 ","$77,308.42 "
3/31/2021,PM-Three,FC-Eight,FY21,Q4,Fund04,Funded Program Five,S.0060703.1.19.3.1,"$66,365.00 ","$69,683.25 "
3/31/2021,PM-One,FC-Three,FY25,Q3,Fund08,Funded Program Five,S.0060703.1.19.2.9,"$28,261.00 ","$25,152.29 "
3/31/2021,PM-Three,FC-Seven,FY25,Q3,Fund06,Funded Program Eight,S.0060703.1.19.3.1,"$17,872.00 ","$16,442.24 "
3/31/2021,PM-Four,FC-Two,FY21,Q4,Fund08,Funded Program Nine,S.0060703.1.19.3.2,"$55,872.00 ","$54,754.56 "
3/31/2021,PM-Three,FC-Seven,FY22,Q3,Fund09,Funded Program Eight,S.0060703.1.19.2.9,"$87,663.00 ","$94,676.04 "
3/31/2021,PM-One,FC-Four,FY23,Q3,Fund07,Funded Program Seven,S.0060703.1.19.2.6,"$98,465.00 ","$86,649.20 "
3/31/2021,PM-Two,FC-One,FY25,Q2,Fund07,Funded Program Nine,S.0060703.1.19.3.2,"$58,735.00 ","$55,210.90 "
3/31/2021,PM-One,FC-Eight,FY22,Q1,Fund04,Funded Program Three,S.0060703.1.19.3.1,"$87,237.00 ","$88,109.37 "
3/31/2021,PM-Three,FC-Six,FY24,Q1,Fund03,Funded Program Four,S.0060703.1.19.3.1,"$42,368.00 ","$38,978.56 "
3/31/2021,HQ,FC-Seven,FY24,Q4,Fund07,Funded Program Ten,S.0060703.1.19.2.8,"$57,979.00 ","$51,021.52 "
3/31/2021,HQ,FC-Three,FY24,Q2,Fund03,Funded Program Nine,S.0060703.1.19.2.9,"$94,236.00 ","$102,717.24 "
3/31/2021,HQ,FC-Eight,FY21,Q1,Fund07,Funded Program Four,S.0060703.1.19.3.4,"$18,181.00 ","$17,999.19 "
3/31/2021,PM-Three,FC-Eight,FY24,Q4,Fund09,Funded Program Three,S.0060703.1.19.2.10,"$40,991.00 ","$44,680.19 "
3/31/2021,PM-Three,FC-Six,FY23,Q2,Fund04,Funded Program Three,S.0060703.1.19.2.6,"$99,788.00 ","$99,788.00 "
3/31/2021,PM-Three,FC-Six,FY21,Q4,Fund08,Funded Program Four,S.0060703.1.19.2.10,"$25,591.00 ","$21,752.35 "
3/31/2021,HQ,FC-Six,FY25,Q3,Fund01,Funded Program Three,S.0060703.1.19.2.6,"$96,082.00 ","$102,807.74 "
3/31/2021,PM-One,FC-Seven,FY22,Q4,Fund08,Funded Program Ten,S.0060703.1.19.3.1,"$68,985.00 ","$68,985.00 "
3/31/2021,HQ,FC-Three,FY22,Q2,Fund06,Funded Program Two,S.0060703.1.19.2.9,"$22,432.00 ","$24,226.56 "
3/31/2021,PM-Three,FC-Two,FY24,Q2,Fund10,Funded Program One,S.0060703.1.19.3.3,"$49,977.00 ","$43,979.76 "
3/31/2021,PM-Three,FC-Three,FY23,Q1,Fund07,Funded Program Five,S.0060703.1.19.2.8,"$87,171.00 ","$91,529.55 "
3/31/2021,PM-Four,FC-Ten,FY24,Q3,Fund05,Funded Program Nine,S.0060703.1.19.2.7,"$86,618.00 ","$76,223.84 "
3/31/2021,PM-Three,FC-Two,FY24,Q3,Fund04,Funded Program Nine,S.0060703.1.19.2.9,"$14,704.00 ","$12,498.40 "
3/31/2021,PM-Three,FC-Nine,FY24,Q2,Fund07,Funded Program One,S.0060703.1.19.3.3,"$78,942.00 ","$83,678.52 "
3/31/2021,HQ,FC-One,FY25,Q1,Fund05,Funded Program One,S.0060703.1.19.2.8,"$94,217.00 ","$85,737.47 "
3/31/2021,PM-Two,FC-Three,FY21,Q4,Fund04,Funded Program Eight,S.0060703.1.19.2.8,"$45,628.00 ","$46,084.28 "
3/31/2021,PM-Two,FC-Four,FY21,Q3,Fund06,Funded Program Two,S.0060703.1.19.2.6,"$40,284.00 ","$42,701.04 "
3/31/2021,PM-One,FC-Ten,FY23,Q2,Fund09,Funded Program Three,S.0060703.1.19.3.3,"$56,972.00 ","$48,426.20 "
3/31/2021,PM-Four,FC-One,FY23,Q3,Fund07,Funded Program Seven,S.0060703.1.19.2.8,"$17,591.00 ","$15,655.99 "
3/31/2021,PM-Four,FC-Two,FY22,Q1,Fund06,Funded Program Eight,S.0060703.1.19.2.5,"$74,121.00 ","$77,085.84 "
3/31/2021,PM-Two,FC-Eight,FY23,Q3,Fund08,Funded Program Eight,S.0060703.1.19.3.4,"$18,850.00 ","$19,227.00 "
3/31/2021,PM-One,FC-Eight,FY24,Q3,Fund06,Funded Program Eight,S.0060703.1.19.3.2,"$89,257.00 ","$87,471.86 "
3/31/2021,PM-Two,FC-Four,FY23,Q4,Fund10,Funded Program Eight,S.0060703.1.19.3.1,"$46,583.00 ","$40,993.04 "
3/31/2021,PM-One,FC-Eight,FY23,Q4,Fund06,Funded Program Four,S.0060703.1.19.2.6,"$21,866.00 ","$21,647.34 "
3/31/2021,PM-Three,FC-Four,FY25,Q4,Fund01,Funded Program Two,S.0060703.1.19.2.7,"$28,059.00 ","$28,900.77 "
3/31/2021,PM-One,FC-Eight,FY21,Q3,Fund07,Funded Program Three,S.0060703.1.19.3.3,"$48,219.00 ","$42,432.72 "
3/31/2021,PM-Two,FC-Three,FY21,Q4,Fund02,Funded Program Six,S.0060703.1.19.2.6,"$68,697.00 ","$59,079.42 "
